user_id,product_id,review_packaging,review_rebuy,review_valueformoney
2936,4104,3.0,maybe,expensive
2936,2506,3.0,maybe,cheap
2936,4069,3.5,yes,cheap
3077,1185,3.0,no,just right
3077,658,3.0,yes,cheap
3077,8798,5.0,maybe,just right
3077,369,3.0,maybe,just right
3077,3304,3.0,no,just right
3077,3558,3.0,no,just right
3077,531,3.0,no,expensive
3077,3868,4.0,no,expensive
3077,6324,3.0,no,just right
3077,5493,3.0,maybe,just right
3077,7405,3.0,maybe,just right
3077,4410,3.0,maybe,just right
3077,2346,3.0,maybe,just right
3077,3285,3.0,no,just right
3415,260,5.0,yes,expensive
3415,3766,4.5,yes,cheap
3415,1398,5.0,yes,expensive
3415,13723,4.5,yes,cheap
3415,9194,4.5,yes,cheap
3415,858,4.5,yes,cheap
3415,9847,4.0,yes,cheap
3489,2202,1.0,no,expensive
3489,1042,4.0,maybe,expensive
3489,10575,4.0,yes,cheap
3589,777,3.0,maybe,just right
3589,680,3.0,maybe,cheap
3589,2506,4.0,no,just right
3589,1503,3.0,yes,just right
3589,869,5.0,yes,cheap
3589,1160,3.0,maybe,cheap
3589,788,3.0,no,just right
3589,179,4.0,yes,just right
3589,3895,3.0,no,just right
3589,2116,3.0,yes,just right
3589,620,3.0,maybe,just right
3589,4069,3.0,no,just right
3589,481,2.5,no,cheap
3589,876,3.0,maybe,just right
3589,576,4.0,yes,cheap
3589,1102,5.0,yes,cheap
3589,618,3.0,maybe,cheap
3589,101,2.0,no,just right
3589,2009,3.0,yes,just right
3589,782,3.5,maybe,cheap
3589,404,4.0,yes,just right
3589,2475,3.0,no,just right
3589,1427,3.0,maybe,just right
3589,2028,5.0,yes,just right
3589,9183,3.0,yes,just right
3589,7108,3.0,no,just right
3589,2356,2.0,no,just right
3589,695,4.0,no,just right
3589,603,3.0,yes,just right
3589,4765,3.0,yes,cheap
3589,1130,2.0,maybe,just right
3589,600,3.0,no,just right
3589,1124,5.0,yes,just right
3589,3549,5.0,yes,cheap
3589,1052,3.0,maybe,cheap
3589,748,3.0,maybe,just right
3589,3558,3.0,maybe,just right
3589,3526,4.0,yes,cheap
3589,822,3.0,maybe,just right
3589,2287,3.0,maybe,just right
3589,605,3.0,maybe,just right
3589,2306,5.0,yes,just right
3589,1982,4.0,yes,cheap
3589,814,3.0,no,just right
3589,3426,3.0,no,just right
3589,2415,3.0,maybe,cheap
3589,3304,4.0,yes,just right
3589,833,3.0,yes,just right
3589,447,3.0,maybe,just right
3589,1465,3.0,maybe,just right
3589,3369,3.0,no,just right
3638,704,3.0,yes,cheap
3638,618,3.5,yes,cheap
3638,7668,3.0,maybe,cheap
3638,9355,3.0,yes,cheap
3638,4710,3.0,yes,cheap
3638,7064,3.0,yes,cheap
3638,1418,3.0,maybe,cheap
3777,1379,3.0,no,just right
3777,1345,4.0,yes,cheap
3777,1370,5.0,yes,just right
3777,1368,4.0,yes,cheap
3908,404,3.0,maybe,just right
3908,7668,3.0,no,just right
3908,822,5.0,yes,cheap
3908,6724,3.0,maybe,expensive
3908,869,4.5,yes,cheap
3908,2185,4.0,yes,just right
3908,808,2.0,no,cheap
3908,260,3.0,no,expensive
4025,34186,3.0,yes,just right
4025,3764,4.0,maybe,cheap
4025,1331,3.0,yes,cheap
4025,7454,4.0,yes,expensive
4025,531,3.0,no,expensive
4025,404,3.0,yes,cheap
4025,2372,4.0,yes,just right
4025,2387,4.5,yes,expensive
4025,5408,3.0,no,cheap
4025,414,3.5,maybe,expensive
4025,5628,3.0,maybe,cheap
4025,2258,4.0,maybe,cheap
4025,2786,3.5,no,cheap
4025,2463,3.0,yes,cheap
4025,260,3.0,no,expensive
4025,487,4.0,yes,cheap
4025,4062,3.5,yes,cheap
4101,3426,5.0,yes,just right
4101,2356,4.0,no,cheap
4101,3304,4.5,maybe,cheap
4101,925,4.0,maybe,cheap
4101,2500,3.0,no,cheap
4101,3956,3.0,maybe,cheap
4101,2372,3.0,no,cheap
4203,4250,3.5,yes,just right
4203,965,3.5,no,cheap
4203,925,4.0,yes,just right
4203,4343,4.5,maybe,cheap
4203,4362,4.0,yes,just right
4203,531,4.0,yes,cheap
4203,2221,4.0,yes,just right
4203,1418,4.0,maybe,expensive
4334,3304,3.0,maybe,cheap
4334,4710,2.0,no,cheap
4334,609,3.0,maybe,just right
4334,2506,3.0,maybe,cheap
4334,8328,4.0,maybe,expensive
4334,318,3.0,no,expensive
4334,2372,2.0,maybe,just right
4334,704,2.5,no,just right
4334,5176,3.0,yes,just right
4334,2387,1.0,no,expensive
4334,597,3.5,yes,just right
4334,1434,3.0,maybe,cheap
4469,4861,3.0,yes,just right
4469,2531,3.5,maybe,just right
4469,3285,5.0,yes,just right
4469,9139,5.0,yes,expensive
4469,3526,5.0,yes,just right
4469,208,4.0,yes,just right
4469,1346,3.0,yes,just right
4469,1551,5.0,maybe,just right
4469,756,5.0,yes,cheap
4469,172,5.0,maybe,expensive
4469,6222,2.0,yes,cheap
4469,10940,3.0,no,just right
4469,7033,5.0,yes,expensive
4469,2258,3.0,yes,cheap
4469,5042,4.0,no,cheap
4520,1113,5.0,yes,just right
4520,208,4.0,yes,just right
4520,1344,4.0,no,expensive
4520,8272,4.5,yes,just right
4520,664,5.0,yes,just right
4520,220,4.0,no,expensive
4520,369,4.5,yes,cheap
4520,925,4.5,yes,just right
4520,10868,3.0,yes,just right
4520,861,4.0,no,expensive
4684,9446,3.0,no,just right
4684,238,4.0,yes,cheap
4684,260,4.5,yes,expensive
4684,9444,1.5,no,just right
4684,2623,4.5,yes,just right
4684,3873,2.3,maybe,expensive
4684,5807,3.5,no,expensive
4787,833,4.5,maybe,cheap
4787,3945,4.5,yes,expensive
4787,2431,3.0,no,just right
4787,127,3.5,no,just right
4787,2329,4.0,yes,cheap
4787,2116,4.5,yes,just right
4787,158,3.0,no,just right
4886,260,5.0,yes,expensive
4886,9183,2.0,no,just right
4886,814,5.0,maybe,cheap
4886,979,3.0,maybe,just right
4886,127,2.0,no,cheap
4894,3010,3.0,no,just right
4894,6587,3.0,maybe,expensive
4894,925,3.0,maybe,cheap
4894,45146,3.0,maybe,just right
4894,2287,3.0,yes,cheap
4894,1434,3.0,maybe,cheap
4894,4975,3.0,no,just right
4894,5493,3.0,no,just right
4894,6486,3.0,no,just right
4894,6324,3.0,no,just right
4894,370,3.0,no,just right
4894,2258,3.0,no,just right
4894,6222,3.0,maybe,just right
4909,1370,4.0,yes,expensive
4909,7571,5.0,yes,just right
4909,9282,4.0,yes,expensive
4909,861,5.0,maybe,expensive
4909,208,3.5,no,just right
4909,1418,4.0,yes,expensive
4909,220,5.0,maybe,expensive
4915,1428,2.5,no,just right
4915,1465,3.5,maybe,just right
4915,4690,2.5,maybe,cheap
4915,1427,3.0,no,just right
4960,260,4.5,yes,expensive
4960,3004,4.0,yes,just right
4960,1418,3.0,yes,just right
4960,2411,3.0,no,cheap
4960,1362,3.5,yes,cheap
4960,3009,4.0,maybe,cheap
5182,1418,4.0,maybe,expensive
5182,3956,3.0,maybe,just right
5182,1551,4.0,yes,cheap
5182,158,4.5,no,cheap
5182,903,4.0,maybe,expensive
5182,129,4.5,yes,just right
5203,10588,4.0,yes,expensive
5203,1267,3.5,no,just right
5203,1362,4.5,yes,expensive
5203,2507,4.5,no,cheap
5203,2172,3.0,maybe,just right
5203,2610,5.0,yes,expensive
5203,303,4.5,maybe,just right
5203,829,4.0,yes,cheap
5203,351,3.5,yes,cheap
5203,172,4.0,maybe,expensive
5203,73,4.5,yes,expensive
5203,1969,5.0,yes,cheap
5252,8648,4.0,maybe,just right
5252,2287,5.0,yes,cheap
5252,2639,4.0,maybe,cheap
5252,6724,4.0,maybe,expensive
5252,7117,4.0,maybe,cheap
5252,5408,4.0,maybe,just right
5252,1346,4.0,no,cheap
5252,1368,5.0,yes,cheap
5358,238,3.5,maybe,cheap
5358,1461,3.5,yes,just right
5358,861,3.5,maybe,expensive
5358,13339,4.0,yes,cheap
5424,2414,3.0,no,cheap
5424,1331,1.5,maybe,cheap
5424,2435,3.0,yes,just right
5424,2221,3.0,yes,cheap
5424,128,3.0,yes,cheap
5424,1201,3.0,maybe,cheap
5424,2475,3.0,maybe,cheap
5424,4250,2.0,maybe,cheap
5424,126,3.0,yes,cheap
5503,1066,4.0,maybe,cheap
5503,3835,4.0,yes,cheap
5503,833,4.0,yes,just right
5503,4012,3.0,no,cheap
5503,748,3.5,maybe,cheap
5503,605,3.5,yes,just right
5503,4123,4.0,yes,just right
5503,249,4.5,yes,just right
5503,2202,3.5,maybe,cheap
5503,209,4.5,yes,cheap
5503,4050,4.0,yes,just right
5503,3845,4.0,maybe,expensive
5503,2632,4.5,maybe,cheap
5503,3825,4.5,yes,just right
